127.0.0.1 - - [18/Feb/2020:20:04:40 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/css/popuo-box.css HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/css/style.css HTTP/1.1" 200 105641
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/css/jquery-ui1.css HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/images/logo2.png HTTP/1.1" 200 18864
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image1_1.jpg HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image2_1.jpg HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image3_1.jpg HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image4_1.jpg HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image5_1.jpg HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image6_1.jpg HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image7_1.jpg HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image8_1.jpg HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image9_1.jpg HTTP/1.1" 200 5311
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image10_1.jpg HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image11_1.jpg HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image13_1.jpg HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:49 +0700] "GET /MyWeb_2020/imageProduct/image12_1.jpg HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/ HTTP/1.1" 200 50521
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/imageProduct/image14_1.jpg HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/imageProduct/image15_1.jpg HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/SmoothScroll.min.js HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/easing.js HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/tab3.png HTTP/1.1" 200 189759
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/1.png HTTP/1.1" 200 7671
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/2.png HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay2.png HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay5.png HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay1.png HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay4.png HTTP/1.1" 200 5189
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay6.png HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay7.png HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay3.png HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay8.png HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:50 +0700] "GET /MyWeb_2020/images/pay9.png HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:51 +0700] "GET /MyWeb_2020/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:52 +0700] "GET /MyWeb_2020/images/move-up.png HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:52 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/ControllerShopping?action=checkUser HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/css/styleLogin2.css HTTP/1.1" 200 24929
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:55 +0700] "GET /MyWeb_2020/images/g6.jpg HTTP/1.1" 200 124129
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:15 +0700] "POST /MyWeb_2020/ControllerShopping?action=login HTTP/1.1" 200 19384
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/bootstrap.css HTTP/1.1" 200 141598
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/style.css HTTP/1.1" 200 176296
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/SidebarNav.min.css HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/jquery-1.11.1.min.js HTTP/1.1" 200 95786
